lat,lon,municipio,estado,municipio_id,estado_id,numero_dias_sem_chuva,precipitacao,risco_fogo,bioma,frp
3.0549,-60.6142,BOA VISTA,RORAIMA,1400100,14,3.0,3.1,0.69,Amazônia,58.5
-6.2754,-35.0863,VILA FLOR,RIO GRANDE DO NORTE,2415008,24,5.0,0.0,0.64,Mata Atlântica,79.0
-18.63702,-39.86629,CONCEIÇÃO DA BARRA,ESPÍRITO SANTO,3201605,32,-999.0,0.0,0.22,Mata Atlântica,5.9
-19.58172,-40.12027,ARACRUZ,ESPÍRITO SANTO,3200607,32,5.0,0.0,0.97,Mata Atlântica,12.6
-17.59978,-44.1815,FRANCISCO DUMONT,MINAS GERAIS,3126604,31,5.0,0.0,0.19,Cerrado,10.4
-19.13561,-40.28756,RIO BANANAL,ESPÍRITO SANTO,3204351,32,5.0,0.0,0.42,Mata Atlântica,10.9
-10.02418,-36.0531,JEQUIÁ DA PRAIA,ALAGOAS,2703759,27,-999.0,0.0,-999.0,Mata Atlântica,52.7
-10.01275,-36.05497,JEQUIÁ DA PRAIA,ALAGOAS,2703759,27,-999.0,0.0,-999.0,Mata Atlântica,56.1
-13.58721,-43.6338,SERRA DO RAMALHO,BAHIA,2930154,29,0.0,0.3,1.0,Cerrado,6.2
-11.93724,-40.97682,MORRO DO CHAPÉU,BAHIA,2921708,29,0.0,17.53,0.02,Caatinga,3.7
-10.01031,-36.0396,JEQUIÁ DA PRAIA,ALAGOAS,2703759,27,-999.0,0.0,1.0,Mata Atlântica,7.8
-5.66593,-35.74129,BENTO FERNANDES,RIO GRANDE DO NORTE,2401602,24,5.0,0.0,1.0,Caatinga,11.8
-7.10224,-38.9153,BARRO,CEARÁ,2302008,23,3.0,0.0,0.0,Caatinga,8.0
-5.66888,-35.76058,BENTO FERNANDES,RIO GRANDE DO NORTE,2401602,24,5.0,0.0,1.0,Caatinga,14.4
-3.52116,-43.47401,CHAPADINHA,MARANHÃO,2103208,21,1.0,4.02,0.0,Cerrado,4.0
-5.9303,-43.25588,SÃO FRANCISCO DO MARANHÃO,MARANHÃO,2110906,21,0.0,0.95,0.01,Caatinga,6.0
-5.92251,-43.26648,SÃO FRANCISCO DO MARANHÃO,MARANHÃO,2110906,21,1.0,0.89,0.0,Caatinga,12.1
-5.92123,-43.25718,SÃO FRANCISCO DO MARANHÃO,MARANHÃO,2110906,21,0.0,0.86,0.01,Caatinga,15.7
-3.52889,-43.46364,CHAPADINHA,MARANHÃO,2103208,21,2.0,4.18,0.0,Cerrado,4.0
-5.93159,-43.2652,SÃO FRANCISCO DO MARANHÃO,MARANHÃO,2110906,21,0.0,0.97,0.01,Caatinga,8.1
-3.53015,-43.47274,CHAPADINHA,MARANHÃO,2103208,21,2.0,4.2,0.0,Cerrado,5.5
-3.60556,-43.41909,CHAPADINHA,MARANHÃO,2103208,21,2.0,3.19,0.0,Cerrado,3.2
-9.9487,-36.3377,TEOTÔNIO VILELA,ALAGOAS,2709152,27,4.0,0.0,1.0,Mata Atlântica,79.6
-9.9294,-36.3411,TEOTÔNIO VILELA,ALAGOAS,2709152,27,4.0,0.0,1.0,Mata Atlântica,149.2
-10.327,-36.6993,NEÓPOLIS,SERGIPE,2804409,28,4.0,0.0,1.0,Mata Atlântica,96.5
-20.117826,-46.802155,SÃO ROQUE DE MINAS,MINAS GERAIS,3164308,31,,,,Cerrado,
-20.141441,-48.784954,FRUTAL,MINAS GERAIS,3127107,31,,,,Cerrado,
-20.142708,-48.794083,FRUTAL,MINAS GERAIS,3127107,31,,,,Cerrado,
-16.81962,-47.446949,CRISTALINA,GOIÁS,5206206,52,,,,Cerrado,
-5.978908,-43.264954,SÃO FRANCISCO DO MARANHÃO,MARANHÃO,2110906,21,,,,Caatinga,
-6.47405,-35.39064,NOVA CRUZ,RIO GRANDE DO NORTE,2408300,24,4.0,0.0,1.0,Caatinga,0.5
-6.47059,-35.38638,NOVA CRUZ,RIO GRANDE DO NORTE,2408300,24,4.0,0.0,1.0,Caatinga,1.4
-5.77811,-35.46923,IELMO MARINHO,RIO GRANDE DO NORTE,2404606,24,5.0,0.07,1.0,Caatinga,0.8
-5.66999,-35.74664,BENTO FERNANDES,RIO GRANDE DO NORTE,2401602,24,5.0,0.0,1.0,Caatinga,1.9
-8.56969,-36.26301,IBIRAJUBA,PERNAMBUCO,2606705,26,4.0,0.0,1.0,Caatinga,1.2
-5.66934,-35.75051,BENTO FERNANDES,RIO GRANDE DO NORTE,2401602,24,5.0,0.0,1.0,Caatinga,1.9
-6.74844,-35.21621,MAMANGUAPE,PARAÍBA,2508901,25,4.0,0.18,0.47,Mata Atlântica,2.6
-6.74445,-35.21548,MAMANGUAPE,PARAÍBA,2508901,25,4.0,0.2,0.45,Mata Atlântica,18.7
-10.4163,-36.99002,CAPELA,SERGIPE,2801306,28,5.0,0.0,1.0,Mata Atlântica,4.4
-10.41698,-36.98615,CAPELA,SERGIPE,2801306,28,5.0,0.0,1.0,Mata Atlântica,3.1
-10.42052,-36.99085,CAPELA,SERGIPE,2801306,28,5.0,0.0,1.0,Mata Atlântica,4.1
-9.32778,-35.66531,SÃO LUÍS DO QUITUNDE,ALAGOAS,2708501,27,4.0,0.0,0.67,Mata Atlântica,1.7
-10.4212,-36.98695,CAPELA,SERGIPE,2801306,28,5.0,0.0,1.0,Mata Atlântica,4.4
-9.32381,-35.66471,SÃO LUÍS DO QUITUNDE,ALAGOAS,2708501,27,4.0,0.0,0.75,Mata Atlântica,0.8
-10.09798,-36.36311,CORURIPE,ALAGOAS,2702306,27,-999.0,0.0,1.0,Caatinga,3.5
-10.09734,-36.36681,CORURIPE,ALAGOAS,2702306,27,-999.0,0.0,1.0,Caatinga,3.5
-10.20601,-36.38985,PENEDO,ALAGOAS,2706703,27,-999.0,0.1,1.0,Mata Atlântica,5.9
-13.50919,-43.69661,SERRA DO RAMALHO,BAHIA,2930154,29,1.0,1.63,0.78,Cerrado,1.6
-19.99753,-45.25663,SANTO ANTÔNIO DO MONTE,MINAS GERAIS,3160405,31,5.0,0.0,0.06,Cerrado,1.1
-20.18521,-46.62141,SÃO ROQUE DE MINAS,MINAS GERAIS,3164308,31,1.0,9.57,0.0,Cerrado,1.5
